정류소노드 아이디,정류소명,경도,위도,지자체코드,지자체명
154000041,대구칠곡초등학교앞,128.551343,35.946242,154,북구
154000042,칠곡시장앞,128.5509539,35.943316,154,북구
154000043,칠곡시장건너,128.5506101,35.943201,154,북구
154000044,칠곡동화아파트앞,128.5497461,35.939856,154,북구
154000045,칠곡동화아파트건너,128.5501021,35.939894,154,북구
154000046,대구은행칠곡지점앞,128.5488562,35.936516,154,북구
154000047,대구은행칠곡지점건너,128.5490639,35.935691,154,북구
154000048,칠곡에덴타운앞,128.551788,35.932131,154,북구
154000049,칠곡운암역1,128.555527,35.931722,154,북구
154000050,한국농어촌공사앞,128.557593,35.931544,154,북구
154000051,칠곡화성타운건너,128.5599949,35.931343,154,북구
154000052,칠곡청구타운앞,128.560244,35.928898,154,북구
154000053,구암초등학교앞,128.5578788,35.927003,154,북구
154000055,대구과학대학2,128.5479011,35.930307,154,북구
154000056,대구과학대학1,128.548121,35.929887,154,북구
154000057,대구보건대학4,128.547333,35.92682,154,북구
154000058,대구보건대학3,128.5475828,35.926368,154,북구
154000059,구암교1,128.5490002,35.9256,154,북구
154000060,운전면허시험장건너,128.551,35.9253,154,북구
154000061,태현초등학교,128.542,35.9275,154,북구
154000062,대구보건대학앞2,128.5426901,35.927066,154,북구
154000063,대구보건대학건너2,128.5430108,35.926015,154,북구
154000064,태전두성타운앞,128.5440001,35.924,154,북구
154000065,태전삼거리1,128.547,35.922,154,북구
154000066,태전삼거리2,128.5465111,35.921479,154,북구
154000067,태전중앙시장건너,128.5459999,35.9214,154,북구
154000068,태전중앙시장앞,128.5458232,35.920985,154,북구
154000069,태전역1,128.5481059,35.918107,154,북구
154000070,태전역2,128.5479371,35.917871,154,북구
154000071,두성파크아파트건너,128.5482679,35.915787,154,북구
154000072,두성파크아파트앞,128.5486121,35.915425,154,북구
154000073,대구병원건너,128.548291,35.912467,154,북구
154000074,메트로시티앞,128.547594,35.913691,154,북구
154000075,메트로시티건너,128.547225,35.913396,154,북구
154000076,태전중석타운앞,128.5449998,35.9136,154,북구
154000077,태전중석타운건너,128.5440001,35.9134,154,북구
154000078,매천초등학교앞,128.542356,35.912109,154,북구
154000079,매천성당건너1,128.5422592,35.909495,154,북구
154000080,매천성당앞,128.542,35.9087,154,북구
154000081,대구병원앞,128.548634,35.912822,154,북구
154000082,매천중고등학교앞,128.5482769,35.910045,154,북구
154000083,매천중고등학교건너,128.5486009,35.910101,154,북구
154000084,매천시장지하차도,128.5409999,35.9042,154,북구
154000085,농수산물도매시장건너,128.5471379,35.904218,154,북구
154000086,농수산물도매시장앞,128.546609,35.903156,154,북구
154000087,매천수산시장,128.5415341,35.900991,154,북구
154000088,매천수산시장건너,128.5420439,35.900618,154,북구
154000089,매천대교,128.542,35.8981,154,북구
154000090,팔달중학교,128.5443349,35.898495,154,북구
154000091,팔달중학교건너,128.5441549,35.898408,154,북구
154000092,팔금교2,128.5449998,35.8972,154,북구
154000093,대백인터빌건너,128.548256,35.898316,154,북구
154000094,대백인터빌앞,128.5486931,35.898228,154,북구
154000095,팔금교1,128.548548,35.897499,154,북구
154000096,공단역1,128.5538119,35.891997,154,북구
154000097,공단역2,128.553691,35.891643,154,북구
154000098,트레이더스홀세일클럽비산점 건너,128.556,35.8907,154,북구
154000099,트레이더스홀세일클럽비산점 앞,128.556,35.8905,154,북구
154000100,만평역2,128.5592918,35.889964,154,북구
154000101,만평역1,128.5592288,35.890246,154,북구
154000102,북침산치안센터건너,128.579355,35.888578,154,북구
154000103,북침산치안센터앞,128.580268,35.889023,154,북구
154000104,북대구세무서건너,128.583,35.8891,154,북구
154000105,북대구세무서앞,128.583,35.8878,154,북구
154000106,북부경찰서건너,128.5819999,35.886,154,북구
154000107,북구청건너,128.5833571,35.884685,154,북구
154000108,북구청앞,128.5838251,35.8848,154,북구
154000109,북구청역(4번출구),128.5815341,35.883644,154,북구
154000110,대구도시공사앞,128.588,35.8837,154,북구
154000111,대구도시공사건너,128.5890001,35.8838,154,북구
154000112,DGB대구은행파크동편 건너,128.5896301,35.881211,154,북구
154000113,DGB대구은행파크동편 앞,128.5892618,35.880987,154,북구
154000114,고성지구대2,128.5887859,35.879453,154,북구
154000115,칠성휴먼시아건너,128.5896982,35.878711,154,북구
154000116,칠성우방타운,128.5930001,35.8801,154,북구
154000117,대구역북편네거리1,128.5954852,35.878538,154,북구
154000118,대구소방본부앞,128.5945931,35.877735,154,북구
154000120,구암가구골목1,128.5557271,35.925338,154,북구
155000001,송원맨션앞,128.611305,35.822289,155,수성구
155000002,캐슬골드파크4단지앞,128.6365748,35.840823,155,수성구
155000003,동도중학교앞,128.6387258,35.849234,155,수성구
155000004,2차대자연맨션건너,128.6182192,35.811077,155,수성구
155000005,화성파크뷰앞,128.6222749,35.806612,155,수성구
155000006,수성못오거리1,128.6101249,35.826525,155,수성구
155000007,파동1차시장건너,128.612381,35.819959,155,수성구
155000008,신세계주유소앞,128.613906,35.816635,155,수성구
155000009,대자연맨션건너,128.6157938,35.814185,155,수성구
155000010,대자연맨션,128.616768,35.813151,155,수성구
155000011,파동청구하이츠,128.6197661,35.809363,155,수성구
155000012,송원맨션건너,128.611786,35.821556,155,수성구
155000013,신세계주유소건너,128.6136292,35.817558,155,수성구
155000014,만촌태왕리더스앞2,128.6482792,35.862355,155,수성구
155000015,정화우방팔레스,128.6119429,35.838475,155,수성구
155000016,광명프레지던트아파트건너,128.6121341,35.83915,155,수성구
155000017,정화우방팔레스건너,128.6118788,35.836709,155,수성구
155000018,수성초등학교,128.611661,35.835797,155,수성구
155000019,수성동일하이빌정문,128.6111599,35.832582,155,수성구
155000020,상동우체국앞,128.6112751,35.832542,155,수성구
155000021,상동천주교회앞,128.6107819,35.830382,155,수성구
155000022,상동네거리,128.6105782,35.828488,155,수성구
155000023,수성못오거리2,128.610247,35.826604,155,수성구
155000024,수성못코오롱하늘채,128.61086,35.823578,155,수성구
155000025,파동1차시장앞,128.6128069,35.819319,155,수성구
155000026,2차대자연맨션앞,128.6182238,35.811274,155,수성구
155000027,파동우체국앞,128.619878,35.809,155,수성구
155000028,화성파크뷰건너,128.6223689,35.806691,155,수성구
155000029,만촌육교1,128.6447231,35.858011,155,수성구
155000030,만촌육교2,128.6447872,35.857916,155,수성구
155000031,국립대구박물관앞,128.63925,35.847269,155,수성구
155000032,경북고등학교건너,128.6388472,35.84338,155,수성구
155000033,경북고등학교앞,128.638962,35.843753,155,수성구
155000034,황금힐스테이트,128.6369482,35.840557,155,수성구
155000035,성동초등학교앞,128.632986,35.840468,155,수성구
155000036,성동초등학교건너,128.6332852,35.840448,155,수성구
155000037,캐슬골드파크(1504동),128.6306752,35.839503,155,수성구
155000038,캐슬골드파크(1102동),128.6308469,35.839693,155,수성구
155000039,헬로TV대구방송앞,128.6265622,35.839291,155,수성구
155000040,헬로TV대구방송건너,128.6260949,35.839284,155,수성구
155000041,동도중학교건너,128.6385451,35.850107,155,수성구
155000042,중동네거리1,128.6137289,35.840621,155,수성구
155000043,중동네거리2,128.6149568,35.840638,155,수성구
155000044,들안길초등학교앞,128.6175848,35.840304,155,수성구
155000045,들안길초등학교건너,128.61778,35.84041,155,수성구
155000046,SK리더스뷰앞,128.6222119,35.839959,155,수성구
155000047,SK리더스뷰건너,128.6208781,35.840179,155,수성구
